protocolSection.identificationModule.briefTitle,protocolSection.statusModule.statusVerifiedDate,protocolSection.statusModule.overallStatus,protocolSection.statusModule.completionDateStruct.date,protocolSection.sponsorCollaboratorsModule.responsibleParty.type,protocolSection.sponsorCollaboratorsModule.responsibleParty.investigatorFullName,protocolSection.sponsorCollaboratorsModule.leadSponsor.name,protocolSection.conditionsModule.conditions,protocolSection.designModule.studyType,protocolSection.designModule.enrollmentInfo.count,protocolSection.designModule.enrollmentInfo.type,protocolSection.armsInterventionsModule.interventions,protocolSection.conditionsModule.keywords,protocolSection.eligibilityModule.studyPopulation
A Patient Centric Motor Neuron Disease Activities of Daily Living Scale,2019-10,COMPLETED,2019-09-13,SPONSOR,,University of South Florida,"['Amyotrophic Lateral Sclerosis', 'Progressive Muscular Atrophy', 'Primary Lateral Sclerosis', 'Hereditary Spastic Paraplegia']",OBSERVATIONAL,410.0,ACTUAL,"[{'name': 'Web-based Survey', 'description': 'This is a prospective 12-month study of patients with motor neuron disease enrolled in CReATe Connect, an RDCRN Contact Registry.'}]","['Amyotrophic Lateral Sclerosis', 'ALS', 'motor neuron diseases', 'Progressive Muscular Atrophy', 'Primary Lateral Sclerosis', 'Hereditary Spastic Paraplegia']","Patients with motor neuron disease enrolled in CReATe Connect, an RDCRN Contact Registry"
A Study to Explore the Safety and Tolerability of Acthar in Patients With Amyotrophic Lateral Sclerosis,2016-11,COMPLETED,2014-12,SPONSOR,,Mallinckrodt,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,43.0,ACTUAL,"[{'name': 'Repository corticotropin injection', 'description': 'Acthar given SC twice weekly (80 U or 56 U) or daily (24 U or 16 U) for 8 weeks'}]","['H.P. Acthar Gel', 'Acthar', 'amyotrophic lateral sclerosis', 'ALS']",
Treatment Effect of Edaravone in Patients With Amyotrophic Lateral Sclerosis (ALS),2019-03,UNKNOWN,2019-09-16,PRINCIPAL_INVESTIGATOR,Alireza Eishi Oskouei,Isfahan University of Medical Sciences,['Neuromuscular Diseases'],INTERVENTIONAL,20.0,ESTIMATED,"[{'name': 'Edaravone', 'description': 'Edaravone is a free radical scavenger. this drug showed desirable effects like slowing decline of physical function by 33 percent in previous studies.'}, {'name': 'Riluzole', 'description': 'Riluzole is a treatment option for amyotrophic lateral sclerosis. The occurrence of ventilator-dependence or tracheostomy is delayed in selected patients who treated with this drug.'}]","['Amyotrophic Lateral Sclerosis', 'Edaravone']",
Dexpramipexole SAD/MAD Study,2014-11,COMPLETED,2012-01,SPONSOR,,Knopp Biosciences,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,63.0,ACTUAL,"[{'name': 'Dexpramipexole', 'description': 'Oral Tablet at varying doses'}, {'name': 'Dexpramipexole Placebo', 'description': 'Oral tablet at varying doses'}]",,
Intranasal Insulin in Frontotemporal Dementia (FTD),2023-04,TERMINATED,2023-05-15,SPONSOR,,HealthPartners Institute,"['Frontotemporal Dementia, Behavioral Variant']",INTERVENTIONAL,3.0,ACTUAL,"[{'name': 'Novolin-R insulin', 'description': 'Insulin (Novolin-R) 20 IU/IN (0.1ml/10 units IN in each nostril), twice per day, once in the morning and again in the evening (at least 8 hours between doses) for 4 weeks.'}]","['intranasal', 'insulin']",
PiB PET Scanning in Speech and Language Based Dementias,2015-12,COMPLETED,2015-01,PRINCIPAL_INVESTIGATOR,Keith A. Josephs,Mayo Clinic,"['PPA', 'Primary Progressive Aphasia', 'Aphasia', 'Non-fluent Aphasia', 'Semantic Dementia', 'Apraxia of Speech', 'Primary Progressive Nonfluent Aphasia', 'Progressive Aphasia']",INTERVENTIONAL,168.0,ACTUAL,"[{'name': 'C-11 PiB', 'description': ""One time intravenous administration of 740 megabecquerel (MBq) of \\[N-methyl-11C\\]2-(4'-methylaminophenyl)-6-hydroxybenzothiazole (PiB) (range 370 - 740 MBq).""}, {'name': 'F-18 FDG', 'description': 'One time intravenous administration of 629 megabecquerel (MBq) of \\[18-F\\]-fluoro-deoxy-glucose (FDG) (range 555 - 740 MBq).'}]","['aphasia', 'apraxia of speech', 'language']",
Efficacy of Noninvasive Ventilation in Amyotrophic Lateral Sclerosis (ALS),2015-07,COMPLETED,2011-06,SPONSOR,,Columbia University,"['Amyotrophic Lateral Sclerosis', 'Motor Neuron Disease']",OBSERVATIONAL,25.0,ACTUAL,,['noninvasive ventilation'],Patients with ALS who are using nocturnal noninvasive ventilation to treat respiratory insufficiency will be screened for eligibility as below.
Exploring Accessible Beauty for Individuals With Upper Extremity Deficits,2023-12,COMPLETED,2023-09-29,PRINCIPAL_INVESTIGATOR,Emily Rosario,Casa Colina Hospital and Centers for Healthcare,"['Stroke, Ischemic', 'Stroke Hemorrhagic', 'Stroke (CVA) or TIA', 'Stroke, Acute', 'Traumatic Brain Injury', 'SCI - Spinal Cord Injury', 'Ehlers-Danlos Syndromes (EDS)', 'Lupus Erythematosus', 'Guillain-Barre Syndrome', 'Multiple Sclerosis', 'Myasthenia Gravis', 'Amyotrophic Lateral Sclerosis', 'Graves Disease', 'Muscular Dystrophies']",OBSERVATIONAL,57.0,ACTUAL,"[{'name': 'Use of Rare Beauty makeup products', 'description': 'Participants will be provided with a selection of beauty products items including foundation, concealer, blush, highlighter, and lipstick, specifically chosen for their potential accessibility features. They will have a specified trial period during which they can use the products as part of their regular beauty routines.'}]","['upper extremity disabilities', 'limited mobility', 'dexterity impairments', 'muscle weakness']","A convenience sample of individuals aged 18 and above, with upper extremity deficits, will be recruited for this study. Efforts will be made to include participants with a range of upper extremity deficits and experiences with beauty products."
Virtual Seating Coach on Power Wheelchairs of Persons With Amyotrophic Lateral Sclerosis (ALS),2023-02,COMPLETED,2020-03-31,SPONSOR,,Wake Forest University Health Sciences,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,39.0,ACTUAL,"[{'name': 'Virtual Seating Coach', 'description': 'Power wheelchair intervention'}]","['Power wheelchairs', 'pressure injuries', 'pain']",
T-Regulatory Cells in Amyotrophic Lateral Sclerosis,2018-03,UNKNOWN,2018-03,SPONSOR_INVESTIGATOR,"Stanley H. Appel, MD","Stanley H. Appel, MD",['ALS (Amyotrophic Lateral Sclerosis)'],INTERVENTIONAL,4.0,ESTIMATED,"[{'name': 'Autologous T-regulatory lymphocytes', 'description': 'intravenous administration of Autologous T-regulatory lymphocytes at a dose of 1x10 to the sixth /kg.'}, {'name': 'Interleukin-2', 'description': 'Subcutaneous Interleukin-2 at a dose of 2x10 to the fifth IU/m2, three times a week.'}]","['ALS', 'T-Regulatory Cells']",
Memory and Social Interactions,2022-12,RECRUITING,2026-12-31,SPONSOR,,"University Hospital, Caen","['Alzheimer Disease', 'Semantic Dementia']",OBSERVATIONAL,192.0,ESTIMATED,"[{'name': 'Learning new information', 'description': 'The purpose of this study is to test the effects of different social contexts when learning new information. Participants in the AD, SPPA, and HC experimental groups will be given tests to learn verbal information (location of drawings in a grid). The learning phases of these tests are presented in the form of a memory game in which participants are asked to make pairs of drawings by finding the second copy of the proposed pair by trial and error in a grid. After learning, a task of recognizing the position of the drawings in the grid is performed. Each participant will carry out this learning in three different conditions: 1) learning alone, 2) learning by observation of the reconstruction of the pairs of images by a partner, and 3) collaborative learning in which the two game partners discover and reconstruct the pairs together.'}]","['Memory', 'Social Interaction', 'Personality', 'Alzheimer Disease', 'Aphasia, Primary Progressive']",AD group SPPA group HC group Partners
Phase I/II Pilot Study of Mixed Chimerism to Treat Inherited Metabolic Disorders,2023-04,TERMINATED,2016-04,SPONSOR,,Talaris Therapeutics Inc.,"['Hurler Syndrome (MPS I)', 'Hurler-Scheie Syndrome', 'Hunter Syndrome (MPS II)', 'Sanfilippo Syndrome (MPS III)', 'Krabbe Disease (Globoid Leukodystrophy)', 'Metachromatic Leukodystrophy (MLD)', 'Adrenoleukodystrophy (ALD and AMN)', 'Sandhoff Disease', 'Tay Sachs Disease', 'Pelizaeus Merzbacher (PMD)', 'Niemann-Pick Disease', 'Alpha-mannosidosis']",INTERVENTIONAL,3.0,ACTUAL,"[{'name': 'hematopoietic stem cell infusion', 'description': 'Enriched hematopoetic stem cell infusion'}]","['hematopoietic stem cell Tx, chimerism, leukodystrophy']",
Development of Targeted RNA-Seq for Amyotrophic Lateral Sclerosis Diagnosis,2024-01,RECRUITING,2025-05,SPONSOR,,Centre Hospitalier Universitaire de Nīmes,['Amyotrophic Lateral Sclerosis'],OBSERVATIONAL,192.0,ESTIMATED,"[{'name': 'RNA sequencing', 'description': 'RNA-Seq (Sureselect XT HS2 RNA) from patient blood sample'}]",,"Patients will be recruited during a consultation for a clinical diagnosis of ALS for which a request for a genetic diagnosis has been made in one of the prescribing centers: CHU Lyon, Montpellier University Hospital, Marseille University Hospital, Clermont-Ferrand University Hospital, Bordeaux University Hospital, Toulouse University Hospital."
The Relationship Between Arterial Stiffness and Respiratory Failure in Motor Neurone Disease,2021-09,COMPLETED,2021-06-30,SPONSOR,,Guy's and St Thomas' NHS Foundation Trust,"['Motor Neurone Disease', 'Hypoxemia and/or Hypercapnia']",OBSERVATIONAL,13.0,ACTUAL,"[{'name': 'Non Invasive Ventilation', 'description': 'Assessments for those participants who are being set up onto NIV'}, {'name': 'Without Non Invasive Ventilation', 'description': 'Assessments for those participants who are not being set up onto NIV'}]",,Patients with Motor Neurone Disease
A Phase 3 Study to Evaluate Efficacy and Safety of AL001 in Frontotemporal Dementia (INFRONT-3),2023-11,ACTIVE_NOT_RECRUITING,2027-10-11,SPONSOR,,Alector Inc.,['Frontotemporal Dementia'],INTERVENTIONAL,110.0,ESTIMATED,"[{'name': 'AL001', 'description': 'Administered via intravenous (IV) infusion'}, {'name': 'Placebo', 'description': 'Administered via intravenous (IV) infusion'}, {'name': 'Open label - AL001', 'description': 'Administered via intravenous (IV) infusion'}]",,
A Study to Evaluate AP-101 in Familial and Sporadic Amyotrophic Lateral Sclerosis (ALS),2020-07,UNKNOWN,2020-11-02,SPONSOR,,AL-S Pharma,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,18.0,ESTIMATED,"[{'name': 'AP-101', 'description': 'Administered by intravenous infusion (IV)'}]","['Familial Amyotrophic Lateral Sclerosis', 'Sporadic Amyotrophic Lateral Sclerosis']",
[BrainConnexion] - Neurodevice Phase I Trial,2022-11,ACTIVE_NOT_RECRUITING,2023-08-27,SPONSOR,,National Neuroscience Institute,"['Tetraplegia', 'Tetraplegia/Tetraparesis', 'Spinal Cord Injuries', 'Amyotrophic Lateral Sclerosis', 'Motor Neuron Disease', 'Locked-in Syndrome', 'Muscular Dystrophies']",INTERVENTIONAL,5.0,ACTUAL,"[{'name': 'BrainConnexion', 'description': 'A 4.4mm by 4.2mm electrode array is placed onto the surface of the motor cortex which is then connected to a miniaturized neural recording microsystem that transmits signals wirelessly to control an external assistive device. Neural signals are recorded at least once every week for 12 months or longer.'}]",,
Florbetaben PET Imaging in PPA,2022-02,COMPLETED,2021-02-26,PRINCIPAL_INVESTIGATOR,Emily Rogalski,Northwestern University,"['Primary Progressive Aphasia', 'Alzheimer Disease']",OBSERVATIONAL,1.0,ACTUAL,"[{'name': 'Florbetaben F18', 'description': 'A single injection of 8.1mCi of florbetaben F18 will be administered by intravenous bolus injection'}, {'name': 'PET', 'description': 'PET Scan for brain imaging'}]","[""Alzheimer's Disease"", 'Dementia', 'Primary Progressive Aphasia', 'Neurocognitive Disorders', 'Speech Disorders']","Participants will be recruited from other research projects at Northwestern's Mesulam Center. Some of these projects recruit participants from the local Chicagoland area and others recruit participants from across the United States. As Primary Progressive Aphasia is an uncommon syndrome, participant recruitment is not focused on a specific demographic area."
A Pilot Study of the Utility of 3D Printed Masks for ALS Subjects,2021-04,TERMINATED,2020-03-14,PRINCIPAL_INVESTIGATOR,Stephen Goutman,University of Michigan,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,5.0,ACTUAL,"[{'name': 'Custom Mask Interface', 'description': 'Subjects enrolled in the study will received a custom designed, 3D printed, non-invasive ventilation mask interface.'}]","['amyotrophic lateral sclerosis, non-invasive ventilation, mask, custom, 3D-printing']",
A P300 Brain Computer Interface Keyboard to Control Assistive Technology For Use by People With Amyotrophic Lateral Sclerosis,2015-06,COMPLETED,2010-08,PRINCIPAL_INVESTIGATOR,"Jane Huggins, PhD",University of Michigan,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,13.0,ACTUAL,"[{'name': 'P300 Brain Computer Interface Keyboard', 'description': 'Subjects will wear an EEG cap for 1-4 hours (1-2 hours typical) per session and use the brain-computer interface to operate assistive technology. Subjects will be asked to participate in 3 sessions.'}]",,
Safety and Efficacy Study of Autologous Bone Marrow Derived Stem Cell Treatment in Amyotrophic Lateral Sclerosis,2018-09,COMPLETED,2013-08,SPONSOR,,"Corestemchemon, Inc.","['Amyotrophic Lateral Sclerosis', 'ALS']",INTERVENTIONAL,72.0,ACTUAL,"[{'name': 'HYNR-CS inj', 'description': 'Intrathecal injection with 1ml/10kg of body weight at an interval of 26 days.'}, {'name': 'Control group', 'description': 'No treatment of HYNR-CS inj'}]","['Amyotrophic lateral sclerosis', 'ALS', 'Motor neuron disease', 'MND', 'HYNR-CS inj', 'Autologous bone marrow derived stem cell', 'Intrathecal injection']",
Exposure to Neurotoxins as Risk Factors for ALS,2019-01-23,COMPLETED,2019-01-23,SPONSOR,,National Institute of Environmental Health Sciences (NIEHS),['ALS'],OBSERVATIONAL,397.0,ACTUAL,,"['Polymorphism', 'Neurodegenerative Diseases', 'ALS']",
Safety and Tolerability of Antiretroviral (Triumeq) in Patients With Amyotrophic Lateral Sclerosis (ALS).,2019-08,COMPLETED,2018-12,SPONSOR,,Neuroscience Trials Australia,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,43.0,ACTUAL,"[{'name': 'Triumeq', 'description': 'Triumeq, a combination of dolutegravir, abacavir and lamivudine is an anti-retroviral therapy indicated for people with HIV-1 infection.'}]","['ALS', 'Antiretroviral Therapy, Triumeq']",
Cortico-Spinal tDCS as Rehabilitative Intervention in Amyotrophic Lateral Sclerosis,2022-10,COMPLETED,2022-07-31,PRINCIPAL_INVESTIGATOR,Barbara Borroni,Azienda Socio Sanitaria Territoriale degli Spedali Civili di Brescia,"['Motor Neuron Disease, Familial', 'Amyotrophic Lateral Sclerosis With Dementia']",INTERVENTIONAL,31.0,ACTUAL,"[{'name': 'Anodal bilateral motor cortex and cathodal spinal tDCS', 'description': '10 sessions of anodal bilateral motor cortex and cathodal spinal transcranial direct current stimulation (5 days/week for 2 weeks)'}, {'name': 'Sham bilateral motor cortex and sham spinal tDCS', 'description': '10 sessions of sham bilateral motor cortex and sham spinal transcranial direct current stimulation (5 days/week for 2 weeks)'}]","['Motor Neuron Disease', 'Amyotrophic Lateral Sclerosis', 'Transcranial direct current stimulation', 'tDCS', 'Non-invasive brain stimulation', 'Transcranial magnetic stimulation', 'TMS']",
"18F-PM-PBB3 PET Study in Tauopathy Including Alzheimer's Disease, Other Dementias and Normal Controls",2018-08,COMPLETED,2018-12-03,SPONSOR,,Chang Gung Memorial Hospital,"[""Alzheimer's Disease"", 'Cortical Basal Syndrome', 'Frontotemporal Dementia', 'Progressive Supranuclear Palsy', 'Vascular Cognitive Impairment']",INTERVENTIONAL,36.0,ACTUAL,"[{'name': 'F-18', 'description': 'This is an open-label study to evaluate the performance of a novel tau imaging ligand in up to 36 subjects (12 AD, 3 FTD, 3 PSP, 3 CBS, 3 VCI and 12 HV).'}]",,
"A Multimodal Approach for Clinical Diagnosis and Treatment of Primary Progressive Aphasia, MAINSTREAM ID:3430931",2023-04,RECRUITING,2026-02,SPONSOR,,IRCCS Centro San Giovanni di Dio Fatebenefratelli,['Primary Progressive Aphasia'],INTERVENTIONAL,60.0,ESTIMATED,"[{'name': 'Active tDCS', 'description': 'Active tDCS (anode will be applied over the left DLPFC with the cathode over the right supraorbital region);'}, {'name': 'individualized language training', 'description': 'individualized language training'}, {'name': 'Placebo tDCS', 'description': 'Placebo tDCS (the current will be turned off 10 seconds after the beginning and turned on for the last 10 seconds of the stimulation period);'}]","['Behavioral and neural effects of tDCS combined with language training', ""Alzheimer's disease and other dementias""]",
BrainGate2: Feasibility Study of an Intracortical Neural Interface System for Persons With Tetraplegia,2024-01,RECRUITING,2038-12,SPONSOR_INVESTIGATOR,"Leigh R. Hochberg, MD, PhD.","Leigh R. Hochberg, MD, PhD.","['Tetraplegia', 'Spinal Cord Injuries', 'Amyotrophic Lateral Sclerosis', 'Brain Stem Infarctions', 'Locked in Syndrome', 'Muscular Dystrophy']",INTERVENTIONAL,22.0,ESTIMATED,"[{'name': 'Placement of the BrainGate2 sensor(s) into the motor-related cortex', 'description': 'Up to four 4x4 mm BrainGate2 sensor(s) are placed into the motor-related cortex (including speech-related areas of cortex), connected to one or two percutaneous pedestals. Neural recordings are made at least weekly for a year or more.'}]","['Brain computer interface', 'Assistive device', 'Environmental control', 'Communication device', 'quadriplegia', 'tetraplegia']",
Oxidative Stress in Motor Neuron Disease: COSMOS Add-On Study,2015-08-03,COMPLETED,2015-08-03,SPONSOR,,National Institute of Neurological Disorders and Stroke (NINDS),"['Motor Neuron Disease', 'Primary Lateral Sclerosis']",OBSERVATIONAL,10.0,ACTUAL,,"['Motor Neuron Disease', 'Primary Lateral Sclerosis', 'Oxidative Stress', 'Physiology', 'PLS']",
ARTFL LEFFTDS Longitudinal Frontotemporal Lobar Degeneration (ALLFTD),2023-11,RECRUITING,2024-07,PRINCIPAL_INVESTIGATOR,Bradley Boeve,Mayo Clinic,"['Frontotemporal Lobar Degeneration (FTLD)', 'Progressive Supranuclear Palsy (PSP)', 'Corticobasal Degeneration (CBD)', 'Behavioral Variant Frontotemporal Dementia (bvFTD)', 'Semantic Variant Primary Progressive Aphasia (svPPA)', 'Nonfluent Variant Primary Progressive Aphasia (nfvPPA)', 'FTD With Amyotrophic Lateral Sclerosis (FTD/ALS)', 'Amyotrophic Lateral Sclerosis', 'Oligosymptomatic PSP (oPSP)', 'C9orf72', 'GRN Related Frontotemporal Dementia', 'MAPT Gene Mutation', 'TBK1 Gene Mutation', 'Oligosymptomatic Progressive Supranuclear Palsy']",OBSERVATIONAL,2100.0,ESTIMATED,,,Participants will have a referring diagnosis of an FTLD clinical syndrome or will be a member of a family with a strong family history of an FTLD syndrome.
Phase 2 Study for SAR443820 in Participants With Amyotrophic Lateral Sclerosis (ALS),2024-01,ACTIVE_NOT_RECRUITING,2027-01-08,SPONSOR,,Sanofi,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,305.0,ACTUAL,"[{'name': 'SAR443820', 'description': 'Tablet oral'}, {'name': 'Placebo', 'description': 'Tablet'}]",,
Trial of Resistance and Endurance Exercise in Amyotrophic Lateral Sclerosis (ALS),2016-04,COMPLETED,2016-02,PRINCIPAL_INVESTIGATOR,"Nicholas Maragakis, MD",Johns Hopkins University,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,60.0,ACTUAL,"[{'name': 'Resistance Exercise', 'description': 'Resistance will be administered using a series of adjustable cuff weights for the upper limbs and hip flexion. Knee flexion and extension will be administered with a weight bench using a leg exercise attachment and free weights.'}, {'name': 'Endurance Exercise', 'description': 'Endurance will be administered using a minicycle. It can be used from a sitting position (chair or wheelchair) for lower limb exercise and then placed on a tabletop for upper limb use.'}, {'name': 'Stretching/Range-of-Motion', 'description': 'Stretching and range of motion exercise is widely accepted as a ""standard of care"" for ALS management.'}]","['ALS', 'Exercise', 'Resistance', 'Endurance']",
Appetite and Related Factors in Patients With ALS,2021-06,UNKNOWN,2022-03-31,SPONSOR,,Peking University Third Hospital,['Amyotrophic Lateral Sclerosis'],OBSERVATIONAL,200.0,ESTIMATED,"[{'name': 'Appetite rating scale CNAQ', 'description': 'Chinese version of Appetite rating scale CNAQ'}]",,ALS patients
CB3 Pilot (Communication Bridge: A Person-centered Internet-based Intervention for Individuals With Primary Progressive Aphasia),2024-01,COMPLETED,2023-07-12,PRINCIPAL_INVESTIGATOR,Emily Rogalski,Northwestern University,"['Aphasia', 'Primary Progressive Aphasia', 'Dementia', 'Communication', 'Alzheimer Disease']",INTERVENTIONAL,8.0,ACTUAL,"[{'name': 'Communication Bridge™', 'description': 'Evidence-based speech language therapy treatment will be compared and contrasted.'}]",,
LIME Study (LFB IVIg MMN Efficacy Study),2016-07,COMPLETED,2016-07,SPONSOR,,Laboratoire français de Fractionnement et de Biotechnologies,['Motor Neuron Disease'],INTERVENTIONAL,23.0,ACTUAL,"[{'name': 'Biological : I10E (Human normal Immunoglobulin for intravenous administration 100mg/mL)'}, {'name': 'Biological: Kiovig® (Human normal Immunoglobulin for intravenous administration 100mg/mL)'}]",['Multifocal Motor Neuropathy'],
Safety Study of Oral Edaravone Administered in Subjects With ALS,2023-05,COMPLETED,2021-10-07,SPONSOR,,Mitsubishi Tanabe Pharma America Inc.,['ALS'],INTERVENTIONAL,185.0,ACTUAL,"[{'name': 'MT-1186', 'description': '* An initial treatment cycle with daily dosing for 14 days, followed by a 14-day drug free period\n* Subsequent treatment cycles with daily dosing for 10 days out of a 14-day period, followed by a 14 day drug free period. Treatment cycles are every 4 weeks.'}]",,
Clinical Pharmacology Study of Oral Edaravone in Patients With Amyotrophic Lateral Sclerosis,2023-04,COMPLETED,2019-09-04,SPONSOR,,Mitsubishi Tanabe Pharma Corporation,['Japanese Patients With ALS'],INTERVENTIONAL,9.0,ACTUAL,"[{'name': 'MT-1186', 'description': 'Suspension'}]",,
Transcranial Magnetic Stimulation (TMS) for Primary Progressive Apraxia of Speech (PPAOS),2020-05,TERMINATED,2018-11-13,PRINCIPAL_INVESTIGATOR,Joyce Rios Gomes Osman,University of Miami,['Apraxia Speech'],INTERVENTIONAL,4.0,ACTUAL,"[{'name': 'Transcranial Magnetic Stimulation (TMS)', 'description': 'Non-invasive brain stimulation, high frequency repetitive TMS delivered in 10 sessions over a 2-week period.'}]",,
A Study of the Expression of Nogo and Reticulon Genes in Skeletal Muscle of Patients With Amyotrophic Lateral Sclerosis,2015-03,TERMINATED,2012-07,SPONSOR,,"University Hospital, Strasbourg, France",['Amyotrophic Lateral Sclerosis'],OBSERVATIONAL,79.0,ACTUAL,,"['Amyotrophic lateral sclerosis', 'Nogo gene', 'reticulon genes']","University Hospital, Strasbourg, France"
Effects of a Self-care Educational Program Via Telerehabilitation in Caregivers,2023-05,NOT_YET_RECRUITING,2023-12,PRINCIPAL_INVESTIGATOR,"Ana Raquel Rodrigues Lindquist, PhD",Universidade Federal do Rio Grande do Norte,['Quality of Life'],INTERVENTIONAL,22.0,ESTIMATED,"[{'name': 'Telerehabilitation', 'description': 'Subjects will participate in a six-week self-care education program with weekly synchronous meetings using Google Meet or WhatsApp and an informative booklet containing guidelines for performing physical activities at home and information on healthy eating, mental health and routine management, with a schedule for weekly organization.'}, {'name': 'Education', 'description': 'Participants will receive an informative booklet containing guidelines for performing physical activities at home and information on healthy eating, mental health and routine management, with orientations on the importance of reading and implementing the guidelines described in the booklet.'}]","['Caregiver', 'Caregiver Burden', 'Telemedicine']",
A Safety and Tolerability Study of Intracerebroventricular Administration of sNN0029 to Patients With Amyotrophic Lateral Sclerosis,2011-12,COMPLETED,2011-06,SPONSOR,,Newron Sweden AB,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,18.0,ACTUAL,"[{'name': 'sNN0029', 'description': 'Continuous ICV infusion at one of three dose levels'}, {'name': 'Placebo', 'description': 'Continuous ICV infusion'}]","['ALS', 'VEGF165', 'Safety', 'Intracerebroventricular', 'Infusion', 'Implantable']",
Holter of Movement in Patients With Amyotrophic Lateral Sclerosis.,2024-01,RECRUITING,2028-01,SPONSOR_INVESTIGATOR,Dr. Stéphanie Delstanche,Dr. Stéphanie Delstanche,['Amyotrophic Lateral Sclerosis'],OBSERVATIONAL,30.0,ESTIMATED,"[{'name': 'Actimyo', 'description': 'Actimyo is an innovative device intended to be used in a home-based environment. It is composed of two watch-like sensors, each containing a magneto-inertial sensors that record the linear acceleration, the angular velocity, the magnetic field of the movement in all directions.The two watches can be worn as wristwatch or placed near the ankle.'}]","['Actimyo', 'Accelerometry', 'Daily living']",Patients diagnosed with amyotrophic lateral sclerosis
A Multi-Modal Remote Monitoring Platform for Frontotemporal Lobar Degeneration (FTLD) Syndromes,2023-09,RECRUITING,2026-12-30,PRINCIPAL_INVESTIGATOR,"Anne-Marie Alexandra Wills, MD",Massachusetts General Hospital,"['PSP', 'CBD', 'Progressive Supranuclear Palsy', 'FTD', 'Corticobasal Degeneration', 'Frontotemporal Dementia', 'Frontotemporal Lobar Degeneration']",OBSERVATIONAL,60.0,ESTIMATED,"[{'name': 'PAMSys', 'description': 'Wearable accelerometer and gyroscope for measuring movement'}, {'name': 'LEGSys', 'description': 'Wearable accelerometer and gyroscope for measuring movement'}]",,The study intends to enroll a diverse population of individuals representative of the general PSP population. There are no restrictions based upon race or ethnic origin. This study will recruit both male and female participants aged 40 years or older with a clinical diagnosis of possible or probable PSP phenotype as defined by the 2017 MDS criteria.
Mesenchymal Stem Cell Injection in Amyotrophic Lateral Sclerosis,2016-01,WITHDRAWN,2017-05,PRINCIPAL_INVESTIGATOR,rokhsareh meamar,"Alzahra Hospital, Iran",['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,0.0,ACTUAL,"[{'name': 'mesenchymal stem cell', 'description': 'intra spinal injection of 1 ×10(8) mesenchymal stem cells +10cc normal saline'}]",,
"A Study in Healthy Adult Male & Female Participants to Assess the Amount of the Study Medicine (SAR443820) Absorbed by the Body, When Given Orally in Fasted Condition as a Tablet Versus as a Capsule (Part 1) and When Given Orally as a Tablet in Fasted Condition Versus as a Tablet After Food (Part 2)",2023-03-22,COMPLETED,2021-09-06,SPONSOR,,Sanofi,['Amyotrophic Lateral Sclerosis (Healthy Volunteers)'],INTERVENTIONAL,18.0,ACTUAL,"[{'name': 'SAR443820', 'description': 'Tablet by oral administration'}, {'name': 'SAR443820', 'description': 'Capsule by oral administration'}]",,
ALS and Airway Clearance (ALSAC) Therapy,2021-10,COMPLETED,2017-09-17,SPONSOR,,The University of Texas Health Science Center at San Antonio,"['Amyotrophic Lateral Sclerosis', 'Respiratory Muscle Weakness']",INTERVENTIONAL,28.0,ACTUAL,"[{'name': 'High Frequency Chest Wall Oscillation', 'description': 'The HFCWO aims to mobilize the secretions to the pharynx to allow the patient to expel the secretions. However, many ALS patients are unable to expel their secretions due to atrophied expiratory muscles. The HFCWO device uses a small air compressor with a vest that wraps around the chest to induce airflows that pull secretions from the walls of the airways, thin the secretions and move them up the airways towards the larger airways and pharynx.'}, {'name': 'Mechanical insufflation/exsufflation', 'description': 'A noninvasive therapy, removes secretions in patients who have an ineffective cough because their peak cough flows are less than 270 L/min. This device applies a positive pressure to the airway and rapidly switches to a negative pressure applied to the airway. The rapid switch between the two types of pressure simulates a natural cough, thus assisting with expulsion of the secretions.'}]","['Amyotrophic Lateral Sclerosis', 'Airway Clearance', 'Mechanical Insufflation Exsufflation', 'High Frequency Chest Wall Compression Oscillation']",
Pridopidine in Amyotrophic Lateral Sclerosis (EAP 2),2023-11,AVAILABLE,,SPONSOR,,Prilenia,['Amyotrophic Lateral Sclerosis'],EXPANDED_ACCESS,,,"[{'name': 'Pridopidine', 'description': 'Pridopidine 45 mg once daily p.o. (or via feeding tube) over a 2-week up-titration period; followed by pridopidine 45 mg twice daily p.o. (or via feeding tube) for the remainder of the treatment period (through Week 104)'}]","['Amyotrophic Lateral Sclerosis', 'Pridopidine', ""Lou Gehrig's disease""]",
